,Book Name,Author,Rating,Number of Reviews,Price,Description,hours,minutes,Genres Extracted
1245,The P.G. Wodehouse Collection,P. G. Wodehouse,4.4,137,422,"This title includes not only the entire audiobook of Right Ho, Jeeves, but also all of the P.G. Wodehouse titles in the current Classic Tales library. It also includes a Jeeves short story only available in the collection: ""Extricating Young Gussie"". The complete running time is over 15 hours. Here is a list of the titles: ""Leave It To Jeeves"", ""Jeeves and the Unbidden Guest"", ""The Aunt and the Sluggard"", ""Death at the Excelsior"", ""Jeeves and the Hard-Boiled Egg"", ""Jeeves in the Springtime"", ""The Man Upstairs"", ""Jeeves and the Chump Cyril"", ""Jeeves Takes Charge"", ""Deep Waters"", ""The Man Who Disliked Cats"", ""Extricating Young Gussie"", and Right Ho, Jeeves (the unabridged novel - seven hours in length). All titles have been remastered, and have never sounded better!",15,42,"['Classic Literature', 'Classic Fiction', 'Crime']"
1246,"The Unicorn Project: A Novel About Developers, Digital Disruption, and Thriving in the Age of Data",Gene Kim,4.6,591,836,The Phoenix Project wowed over a half-million readers. Now comes The Unicorn Project!,12,24,"['Leadership', 'Business Management', 'Industries']"
1247,Understanding Power: The Indispensable Chomsky,Noam Chomsky,4.6,206,1170,Understanding Power: The Indispensable Chomsky - No description available.,10,10,['Power Resource Engineering']
1248,"Spectacular School Trip (Really): Tom Gates, Book 17",Liz Pichon,4.8,669,531,"Spectacular School Trip (Really): Tom Gates, Book 17 - No description available.",5,20,"['Postgraduate School Education', 'Economics Books', 'Biology Books']"
1249,Biomimicry: Innovation Inspired by Nature,Janine M. Benyus,4.4,212,14828,"This ""valuable and entertaining"" (New York Times Book Review) book explores how scientists are adapting nature's best ideas to solve tough 21st-century problems.",14,55,"['Ecology', 'Biology', 'Economics']"
1251,The Curious Incident of the Dog in the Night-Time (Unabridged),Mark Haddon,4.5,5396,888,"""The dog was lying on the grass in the middle of the lawn in front of Mrs Shears' house. It looked as if it was running on its side, the way dogs run when they think they are chasing a cat in a dream. But the dog was not running or asleep. The dog was dead. There was a garden fork sticking out of the dog.""",5,59,"['Crime Action Fiction', 'Coming of Age Fiction', 'Family Life Fiction']"
1252,Kali Ka Uday,Anand Neelkantan,4,42,1171,Kali Ka Uday - No description available.,10,10,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1253,Peppa Pig: Dentist Trip and Other Audio Stories,Ladybird,4.489294063,,410,Peppa Pig comes to audio!,0,23,"['Animal Fiction for Children', 'Animals for Children', ""Children's Literature & Fiction""]"
1254,Get Better at Getting Better,Chandramouli Venkatesan,4.4,133,879,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
1255,Get Better at Getting Better,Chandramouli Venkatesan,4.4,133,879,"What makes people succeed? Why do some people succeed, while others struggle despite working hard?",6,5,"['Personal Success', 'Business & Careers', 'Analysis & Strategy']"
1256,The Hate U Give,Angie Thomas,4.8,6909,645,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1258,The Story of My Life,Helen Keller,4.4,966,501,"Helen Keller overcame the seemingly insurmountable obstacles of deafness and blindness to become an icon of perseverance, respected and honored by readers, historians, and activists. Her autobiography, The Story of My Life, published in the United States in 1903, is still read today for its ability to motivate and reassure readers.",4,22,"['Biographies & Memoirs', 'Literature & Fiction', 'Anthologies']"
1259,Self Talk: How to Train Your Brain to Turn Negative Thinking into Positive Thinking & Practice Self Love,Aston Sanderson,4.2,86,233,Self Talk: How to Train Your Brain to Turn Negative Thinking into Positive Thinking & Practice Self Love - No description available.,1,50,"['Business Motivation & Self-Improvement', 'Self-Hypnosis', 'Self-Esteem']"
1261,Her Last Wish,Ajay K. Pandey,4.6,1902,668,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1262,Key Person of Influence: The Five-Step Method to Become One of the Most Highly Valued and Highly Paid People in Your Industry,Daniel Priestley,4.6,142,645,Key Person of Influence: The Five-Step Method to Become One of the Most Highly Valued and Highly Paid People in Your Industry - No description available.,5,20,['Industries']
1263,Chariots of the Gods,Erich von Daniken,4.3,2710,668,"Erich von Däniken's Chariots of the Gods is a work of monumental importance---the first book to introduce the shocking theory that ancient Earth was visited by aliens. This world-famous best seller has withstood the test of time, inspiring countless books and films, including the author's own popular sequel, The Eye of the Sphinx. But here is where it all began---von Däniken's startling theories of our earliest encounters with alien worlds, based upon his lifelong studies of ancient ruins, lost cities, potential spaceports, and a myriad of hard scientific facts that point to extraterrestrial intervention in human history. Most incredible of all, however, is von Däniken's theory that we ourselves are the descendents of these galactic pioneers---and the archaeological discoveries that prove it:",5,55,"['Unexplained Mysteries', 'Ancient History', 'World History']"
1264,"Not a Penny More, Not a Penny Less",Jeffrey Archer,4.4,1005,323,"Don't get mean, get even.... One million dollars - that's what Harvey Metcalfe, lifelong king of shady deals, has pulled off with empty promises of an oil bonanza and instant riches. Overnight, four men - the heir to an earldom, a Harley Street doctor, a Bond Street art dealer and an Oxford don - find themselves penniless. But this time Harvey has swindled the wrong men. They band together and shadow him from the casinos of Monte Carlo to the high-stakes windows at Ascot and the hallowed lawns of Oxford. Their plan is simple: to sting the crook for exactly what they lost - not a penny more, not a penny less.",7,32,"['International Mystery & Crime', 'Crime Thrillers', 'Psychological Thrillers']"
1265,If God Was a Banker,Ravi Subramanian,4.1,222,668,"Two young manager graduates, with nothing similar in family backgrounds and temperament, join a New York international bank on the same day - and take entirely different routes to success.",9,15,"['Contemporary Fiction', 'Literary Fiction', 'Literature & Fiction']"
1266,Sita Ke Paanch Nirnay [Sita or Five Decisions],Devdutt Pattanaik,4.1,57,233,This is a collection of some of the best stories selected by the Nobel Prize winner Rabindranath Tagore.,1,30,"['Fiction Short Stories', 'Short Stories']"
1267,"Salt, Fat, Acid, Heat: Mastering the Elements of Good Cooking",Samin Nosrat,4.8,5958,683,Now a Netflix series Winner of the Fortnum & Mason Best Debut Food Book 2018 Sunday Times Food Book of the Year and New York Times best seller,5,56,"['Cooking', 'Food']"
1268,The Flatshare,Beth O'Leary,4.5,4081,759,The Flatshare - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1269,Happy: Why More or Less Everything Is Absolutely Fine,Derren Brown,4.4,891,1093,Brought to you by Penguin.,14,32,"['Personal Success', 'Personal Development & Self-Help', 'Textbooks & Study Guides']"
1270,One Good Deed,David Baldacci,4.5,2826,323,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
1271,The Nameless Relationship,Preeti Shenoy,3.6,2203,233,The Nameless Relationship - No description available.,1,50,['Relationships']
1272,"The Google Resume: How to Prepare for a Career and Land a Job at Apple, Microsoft, Google, or any Top Tech Company",Gayle Laakmann McDowell,4.4,88,668,"The Google Resume is the only book available on how to win a coveted spot at Google, Microsoft, Apple, or other top tech firms. Gayle Laakmann McDowell worked in Google Engineering for three years, where she served on the hiring committee and interviewed over 120 candidates. She interned for Microsoft and Apple, and interviewed with and received offers from 10 tech firms. If you're a student, you'll learn what to study and how to prepare while in school, as well as what career paths to consider. If you're a job seeker, you'll get an edge on your competition by learning about hiring procedures and making yourself stand out from other candidates.",8,8,"['Business Careers', 'Industries', 'Analysis & Strategy']"
1273,"The Wicked King: The Folk of the Air, Book 2",Caitlin Kelly,4.8,2133,1101,"The Wicked King: The Folk of the Air, Book 2 - No description available.",10,10,"['Music Books', 'Economics Books', 'Biology Books']"
1274,The World: A Brief Introduction,Richard Haass,4.6,365,1005,New York Times Best Seller,10,24,"['Globalisation', 'Political Science', 'World History']"
1281,Being Different: An Indian Challenge to Western Universalism,Rajiv Malhotra,4.7,308,1003,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",10,10,"['Cooking', 'Plays']"
1282,Get the Guy,Matthew Hussey,4.5,1556,888,"This is the audiobook that single women have been waiting for! Created by the hottest dating coach on the scene, Matthew Hussey, it offers clear, honest, and practical advice for women on how to find their ideal man - and, importantly, how to keep him. Using simple steps, Matthew guides us through the complex maze of dating and shows us just how to find the guy, get the guy, and keep the guy.",5,20,"['Fiction on Dating & Sex for Teens', '""Womens Fiction""', 'Women History']"
1283,The Politics Book,DK,4.5,342,1093,The Politics Book - No description available.,10,10,['Politics']
1284,"The Visitor: Jack Reacher, Book 4",Lee Child,4.5,5087,1093,"Random House presents the audiobook edition of The Visitor by Lee Child, read by Jeff Harding.",10,10,"['Hard Science Fiction', 'Meetings & Presentations', 'Child Psychology']"
1285,"The Visitor: Jack Reacher, Book 4",Lee Child,4.5,5087,1093,"Random House presents the audiobook edition of The Visitor by Lee Child, read by Jeff Harding.",14,17,"['Vigilante Fiction', 'Crime Thrillers', 'Mysteries']"
1286,Tim Cook: The Genius Who Took Apple to the Next Level,Leander Kahney,4.2,135,820,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1287,Data Science for Dummies: 2nd Edition,Lillian Pierson,4.2,61,703,"Jobs in data science abound, but few people have the data science skills needed to fill these increasingly important roles. Data Science for Dummies is the perfect starting point for IT professionals and students who want a quick primer on all areas of the expansive data science space. With a focus on business cases, the book explores topics in big data, data science, and data engineering, and how these three areas are combined to produce tremendous value. If you want to pick-up the skills you need to begin a new career or initiate a new project, listening to this book will help you understand what technologies, programming languages, and mathematical methods on which to focus.",5,20,"['Art', 'Data Science', 'Programming', 'Science']"
1288,Sahir Ludhiyanvi,Sahir Ludhiyanvi,4.489294063,,233,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
1289,The Lost Symbol,Dan Brown,4.4,6128,645,The Lost Symbol - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1291,This Love That Feels Right,Ravinder Singh,4.1,673,754,This Love That Feels Right - No description available.,5,20,"['Love & Romance', 'Nonfiction on Emotions & Feelings for Children', 'Human Rights']"
1292,"The Flavour of Spice: Journeys, Stories, Recipes",Marryam H Reshii,4.4,49,668,"A book that celebrates spices, and the integral ways in which they shape what we eat.",9,11,"['Gastronomy', 'Indian History', 'Food']"
1293,How the Sea Became Salty,Sudha Murty,4.4,194,200,"A long, long time ago, seawater was sweet and drinkable. How it became salty is a remarkable story.",0,10,"['Fairy Tales', 'Literature & Fiction for Children', ""Children's Traditional Stories""]"
1294,Finish: Give Yourself the Gift of Done,Jon Acuff,4.7,519,754,"From New York Times best-selling author Jon Acuff, a book for those who want relief from always starting and never being done.",4,58,"['Business Motivation & Self-Improvement', 'Business Careers', 'Personal Success']"
1295,Ask and It Is Given: Learning to Manifest Your Desires,Esther Hicks,4.489294063,,668,Sunlight is beginning to spill across the Malibu coastline as I begin this preface. And the deep indigo tint of the Pacific Ocean at this time of the morning seems to match the depth of pleasure I'm feeling as I'm imagining the value you're about to receive from the revelations within this book.,6,51,"['Personal Success', 'Personal Development & Self-Help']"
1297,"Exponential Organizations: New Organizations Are Ten Times Better, Faster, and Cheaper Than Yours (and What to Do About It)",Salim Ismail,4.7,559,836,"In business, performance is key. In performance, how you organize can be the key to growth. In the past five years, the business world has seen the birth of a new breed of company - the Exponential Organization - that has revolutionized how a company can accelerate its growth by using technology. An ExO can eliminate the incremental, linear way traditional companies get bigger, leveraging assets like community, big data, algorithms, and new technology into achieving performance benchmarks 10 times better than its peers. Three luminaries of the business world - Salim Ismail, Yuri van Geest, and Mike Malone - have researched this phenomenon and documented 10 characteristics of Exponential Organizations. Here, in Exponential Organizations, they walk the listener through how any company, from a startup to a multinational, can become an ExO, streamline its performance, and grow to the next level.",11,11,"['Entrepreneurship', 'Leadership', 'Business Management']"
1298,"Life, the Universe, and Everything",Douglas Adams,4.6,202,323,"In consequence of a number of stunning catastrophes, Arthur Dent is surprised to find himself living in a hideously miserable cave on prehistoric Earth. However, just as he thinks that things cannot get possibly worse, they suddenly do. He discovers that the Galaxy is not only mind-boggingly big and bewildering but also that most of the things that happen in it are staggeringly unfair.",5,44,"['Fantasy', 'Contemporary Fiction']"
1302,Yes Please,Amy Poehler,4.2,3148,323,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
1303,How to Enjoy Your Life and Your Job,Dale Carnegie,4.3,306,668,"Even if you love work, you probably have days when almost nothing goes right. Best-selling author Dale Carnegie shows you how to make every day more exciting and rewarding - how you can get more done and have more fun doing it.",5,33,"['Personal Success', 'Personal Development & Self-Help']"
1304,Words That Change Minds: The 14 Patterns for Mastering the Language of Influence,Shelle Rose Charvet,4.4,560,668,"Learn how to master influential language and get what you want, without manipulating.",9,58,"['Business Writing', 'Business Management', 'Analysis & Strategy']"
1306,"Magnus Chase and the Ship of the Dead: Magnus Chase, Book 3",Rick Riordan,4.7,1843,888,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1307,"Lead with a Story: A Guide to Crafting Business Narratives That Captivate, Convince, and Inspire",Paul Smith,4.3,170,836,"Storytelling has come of age in the business world. Today, many of the most successful companies use storytelling as a leadership tool. At Nike, all senior executives are designated ""corporate storytellers"". 3M banned bullet points years ago and replaced them with a process of writing ""strategic narratives"". Procter & Gamble hired Hollywood directors to teach its executives storytelling techniques. Some forward-thinking business schools have even added storytelling courses to their management curriculum. The reason for this is simple: Stories have the ability to engage an audience the way logic and bullet points alone never could. Whether you are trying to communicate a vision, sell an idea, or inspire commitment, storytelling is a powerful business tool that can mean the difference between mediocre results and phenomenal success.",10,51,"['Business Communication', 'Workplace Culture', 'Organisational Behaviour']"
1308,Power vs. Force: The Hidden Determinants of Human Behavior,Dr. David R. Hawkins,4.6,298,1148,"Analyzing the basic nature of human thought and consciousness itself, the author makes available to everyone the key to penetrating the last barrier to the advancement of civilization and science and resolving the most crucial of all human dilemmas: how to instantly determine the truth or falsehood of any statement or supposed fact.",8,10,"['Psychology', 'Textbooks & Study Guides']"
1309,"Act like a Lady, Think like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment",Steve Harvey,4.5,3609,10378,"Act like a Lady, Think like a Man: What Men Really Think About Love, Relationships, Intimacy, and Commitment - No description available.",10,10,['Relationships']
1310,The Warmth of Other Suns: The Epic Story of America's Great Migration,Isabel Wilkerson,4.8,3455,1338,"National Book Critics Circle Award, Nonfiction, 2011",22,40,"['Emigration & Immigration Studies', 'United States Immigrant History', 'African American Demographic Studies']"
1311,The Leadership Sutra: An Indian Approach to Power,Devdutt Pattanaik,4.5,38,233,"Durga is the goddess of power in Hinduism as well as in Buddhism and Jainism. Her name is derived from the word fortress (durg). She is the goddess of kings. She rides a lion, the king of the jungle and a symbol of royalty everywhere, from China to England.",2,39,"['Marketing', 'Business Motivation & Self-Improvement', 'Leadership']"
1314,The Spy,Paulo Coelho,4.1,736,452,The Spy - No description available.,2,30,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1315,Great Expectations: The Dickens Collection: An Audible Exclusive Series,Charles Dickens,4.4,3232,1518,Great Expectations: The Dickens Collection: An Audible Exclusive Series - No description available.,10,10,"['Fairy Tale Collections & Anthologies for Children', 'Ancient & Classical Literature Collections']"
1316,SPQR: A History of Ancient Rome,Mary Beard,4.4,1954,569,"Ancient Rome matters. Its history of empire, conquest, cruelty and excess is something against which we still judge ourselves. Its myths and stories - from Romulus and Remus to the rape of Lucretia - still strike a chord with us. And its debates about citizenship, security and the rights of the individual still influence our own debates on civil liberty today.",18,30,"['Ancient & Classical Roman History', 'Rome', 'Textbooks & Study Guides']"
1317,"Eat, Pray, Love: One Woman's Search for Everything Across Italy, India and Indonesia",Elizabeth Gilbert,4.3,3125,937,"It's 3 a.m., and Elizabeth Gilbert is sobbing on the bathroom floor. She's in her 30s, she has a husband, a house, they're trying for a baby - and she doesn't want any of it. A bitter divorce and a turbulent love affair later, she emerges battered and bewildered, and realises it is time to pursue her own journey in search of three things she has been missing: pleasure, devotion, and balance.",12,50,"['Adventurers', 'Biographies of Authors', 'Travel Writing & Commentary']"
1319,Midnight in Chernobyl: The Story of the World's Greatest Nuclear Disaster,Adam Higginbotham,4.8,2367,888,Midnight in Chernobyl: The Story of the World's Greatest Nuclear Disaster - No description available.,5,20,['Words']
1320,Creative Visualization,Shakti Gawain,4.6,381,398,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",3,0,"['Meditation', 'Business Careers', 'Personal Success']"
1321,Personality Isn't Permanent: Break Free from Self-Limiting Beliefs and Rewrite Your Story,Benjamin Hardy,4.8,343,879,Personality Isn't Permanent: Break Free from Self-Limiting Beliefs and Rewrite Your Story - No description available.,5,20,"['Personal Finance', 'Free Enterprise', 'Personality Disorders']"
1322,The Harbinger II: The Return,Jonathan Cahn,4.8,289,586,Are the unprecedented crises of our times the signs and warnings of coming judgment? Does an ancient mystery hold the secret to the events of our times and the future of America and the world? Is this mystery even behind the shakings that have now overtaken the world and America? How much time do we have left?,10,14,"['Biblical Fiction', 'Christian Thriller & Suspense', 'Religious & Spiritual Fiction']"
1323,One Small Step Can Change Your Life: The Kaizen Way to Success,Dr. Robert Maurer,4.6,667,1774,The kaizen way to change your life.,7,17,"['Business Motivation & Self-Improvement', 'Personal Success', 'Analysis & Strategy']"
1324,Close to the Bone,Lisa Ray,4.5,102,1003,"""A thrilling journey inwards as much as outwards.... A must-read."" (Freida Pinto)",15,50,"['Women Biographies', 'Biographies & Autobiographies']"
1326,HBR Guide to Better Business Writing,Harvard Business Review,4.5,332,501,Don't let your writing hold you back.,4,0,"['Business Writing', 'Business Communication', 'Business Careers']"
1327,One of Us Is Lying,Karen McManus,4.6,3836,752,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",5,20,"['Cooking', 'Plays']"
1328,"Dark Psychology and Manipulation: For a Better Life: The Ultimate Guide to Learning the Art of Persuasion, Emotional Influence, NLP Secrets, Hypnosis, Body Language, and Mind Control Techniques",Brandon Goleman,4.1,71,501,"If you want to know yourself more deeply, and if you're going to deepen your emotional intelligence to live a happy and fulfilled life, then keep reading...",3,25,"['Emotions', 'Psychology', 'Personal Development & Self-Help']"
1329,The Sense of Style: The Thinking Person’s Guide to Writing in the 21st Century,Steven Pinker,4.4,640,888,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
1330,"Inheritance: The Inheritance Cycle, Book 4",Christopher Paolini,4.6,4108,1093,"Inheritance: The Inheritance Cycle, Book 4 - No description available.",10,10,"['Music Books', 'Economics Books', 'Biology Books']"
1331,Fall of Giants,Ken Follett,4.5,9020,323,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
1332,"Goodbye Parkinson’s, Hello Life!: The Gyro-Kinetic Method for Eliminating Symptoms and Reclaiming Your Good Health",Alex Kerten,4.2,115,469,"Parkinson’s disease, a disorder of the central nervous system, affects 1 million people in America and 10 million worldwide. In Goodbye Parkinson’s, Hello Life! Alex Kerten presents his breakthrough holistic technique that combines dance therapy, behavior modification, and martial arts to prove that there is life beyond the diagnosis of PD.",3,48,"['Mental & Spiritual Healing', 'Healthy Living & Wellness', 'Mind']"
1333,IELTS Guide to Speaking: The International English Language Testing System,Richard Aspinall,4.489294063,,379,"IELTS is the most popular English exam in the world today. It is also the ideal way to perfect the English language from a basic to advanced level. In this series, you will be escorted through the course with Richard Aspinall, a teacher who has a proven track record in teaching the IELTS curriculum successfully all over the world. He will take you through this ""easy to follow"" step-by-step guide, in which you will be represented by a student, and you will learn everything you need to know to improve your English and get a high-band score in the exam.",0,42,"['English Language Learning', 'Study Guides', 'Language Learning & Teaching']"
1334,Gardens of the Moon: The Malazan Book of the Fallen 1,Ralph Lister,4.1,1401,1093,"Random House presents the audiobook edition of Gardens of the Moon: The Malazan Book of the Fallen 1 by Steven Erikson, read by Ralph Lister.",26,2,"['Fantasy', 'Fantasy', 'Contemporary Fiction']"
1335,The Hidden Reality: Parallel Universes and the Deep Laws of the Cosmos,Brian Greene,4.6,584,1131,"There was a time when “universe” meant all there is. Everything. Yet, in recent years discoveries in physics and cosmology have led a number of scientists to conclude that our universe may be one among many. With crystal-clear prose and inspired use of analogy, Brian Greene shows how a range of different “multiverse” proposals emerges from theories developed to explain the most refined observations of both subatomic particles and the dark depths of space: a multiverse in which you have an infinite number of doppelgängers, each reading this sentence in a distant universe; a multiverse comprising a vast ocean of bubble universes, of which ours is but one; a multiverse that endlessly cycles through time, or one that might be hovering millimeters away yet remains invisible; another in which every possibility allowed by quantum physics is brought to life. Or, perhaps strangest of all, a multiverse made purely of mathematics.",13,48,"['Cosmology', 'Astronomy', 'Physics']"
1336,"Feel Better Fast and Make It Last: Unlock Your Brain's Healing Potential to Overcome Negativity, Anxiety, Anger, Stress, and Trauma",Daniel G. Amen MD,4.4,351,938,"Oops! It's rush hour and traffic is piling up on that page. Please try again in a short while.If you were trying to place an order, it will not have been processed at this time. Go to the Amazon.in home page to continue shopping",5,20,['Plays']
1337,Olympus: An Indian Retelling of the Greek Myths,Devdutt Pattanaik,4.3,167,879,"Is there a connection between Greek and Hindu mythology then? Does it have something to do with a common Indo-European root? Or maybe an exchange of ideas in the centuries that followed the arrival of Alexander the Great, when Greek emissaries travelled to the kingdoms of Mathura and Magadha?",8,23,"['Fairy Tale Fantasy', 'Classic Literature', 'Myths']"
1338,Forgiveness & Loving the Inner Child,Louise L. Hay,4.4,67,257,"By completing your purchase you agree to Audible’s Conditions of Use, Amazon's Privacy Notice and if applicable Audible's Recurring Payment Terms.",0,29,"['Personal Success', 'Personal Development & Self-Help']"
1339,Fifty Shades Darker: Book Two of the Fifty Shades Trilogy,E. L. James,4.3,20791,1093,"For all those who loved Fifty Shades of Grey, the second instalment will have you no less enthralled. Immerse yourself once again in E.L. James' sinfully debauched world.",19,49,"[""Women's Fiction"", 'Contemporary Romance', 'Contemporary Fiction']"
1341,A Little Book of Happiness,Ruskin Bond,4.3,116,233,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",1,50,"['Cooking', 'Plays']"
1342,Ashadh ka Ek Din [Free One Day],Mohan Rakesh,4.489294063,,501,This Hindi play by Mohan Rakesh debuted in 1958 and is considered the first modern Hindi play. The play received a Sangeet Natak Akademi Award for best play in 1959.,3,31,"['Drama & Plays', 'Asian Literature', 'Plays']"
1343,The Prosperous Coach: Increase Income and Impact for You and Your Clients,Steve Chandler,4.7,528,501,Show your clients what they cannot see. Say to your clients what no one else would dare to say.,4,20,"['Mentoring & Coaching', 'Business Sales', 'Marketing']"
1344,One Part Woman,Perumal Murugan,4.1,256,754,"Kali and Ponna's efforts to conceive a child have been in vain. Hounded by the taunts and insinuations of others, all their hopes come to converge on the chariot festival in the temple of Ardhanareeswara, the half-female god.",6,34,"['Family Life Fiction', 'World Literature', 'Historical Fiction']"
1346,"Ask and It Is Given, Volume 1: The Law of Attraction",Jerry Hicks,4.489294063,,562,"As you listen, you'll come to understand how the Universal laws that govern your time/space reality influence your relationships, health issues, finances, career concerns, and more. It's your birthright to live a life filled with everything that is good, and this audio program will show you how to make it so in every way!",3,32,"['Mind', 'Personal Development & Self-Help']"
1351,"Stealing Fire: How Silicon Valley, the Navy SEALs, and Maverick Scientists Are Revolutionizing the Way We Live and Work",Steven Kotler,4.4,501,11862,"The authors of the best-selling Bold and The Rise of Superman explore altered states of consciousness and how they can ignite passion, fuel creativity, and accelerate problem solving, in this groundbreaking book in the vein of Daniel Pink's Drive and Charles Duhigg's Smarter Faster Better.",8,24,"['Pharmacology', 'Creativity & Genius', 'Technology & Society']"
1352,Autobiography of a Yogi - Original Edition,Paramahansa Yogananda,4.6,2751,609,Autobiography of a Yogi - Original Edition - No description available.,5,20,['Biographies']
1353,Fantastic Beasts and Where to Find Them: Read by Eddie Redmayne,J.K. Rowling,4.5,2351,652,"A set textbook at Hogwarts School of Witchcraft and Wizardry since publication, Newt Scamander's masterpiece has entertained wizarding families through the generations. Fantastic Beasts and Where to Find Them is an indispensable introduction to the magical beasts of the wizarding world.",5,20,"['Art', 'Witchcraft']"
1354,Beneath a Scarlet Sky: A Novel,Mark Sullivan,4.7,24240,804,Beneath a Scarlet Sky: A Novel - No description available.,5,20,"['Light Novels', '""Childrens Comics & Graphic Novels""']"
1355,Stuff Matters,Mark Miodownik,4.6,255,683,Stuff Matters - No description available.,5,20,"['Cooking', 'Art', 'Economics Books', 'Personal Success', 'Plays']"
1356,Save the Cat! Goes to the Movies: The Screenwriter's Guide to Every Story Ever Told,Blake Snyder,4.6,191,1172,Save the Cat! Goes to the Movies: The Screenwriter's Guide to Every Story Ever Told - No description available.,10,10,['Movie']
1357,Conscious Business,Fred Kofman,4.489294063,,1406,"In Conscious Business, you'll join this visionary teacher and founder of Leading Learning Communities to master these skills.",9,41,"['Business Careers', 'Leadership', 'Business Management']"
1358,The Last Juror,John Grisham,4.5,948,410,"The murderer, Danny Padgitt, was tried before a packed courtroom in Clanton, Mississippi. The trial came to a startling and dramatic end when the defendant threatened revenge against the jurors if they convicted him. Nevertheless, they found him guilty, and he was sentenced to life in prison. But in Mississippi in 1970, 'life' didn't necessarily mean 'life', and nine years later Danny Padgitt managed to get himself paroled. He returned to Ford County, and the retribution began.",5,55,"['Legal Thrillers', 'Mysteries', 'Suspense']"
1359,The Last Juror,John Grisham,4.5,948,410,"Sorry, we just need to make sure you're not a robot. For best results, please make sure your browser is accepting cookies.",2,30,"['Cooking', 'Plays']"
1361,"Scarlet: The Lunar Chronicles, Book 2",Marissa Meyer,4.7,2144,1063,"Scarlet: The Lunar Chronicles, Book 2 - No description available.",10,10,"['Music Books', 'Economics Books', 'Biology Books']"
1362,Crazy Rich Asians,Kevin Kwan,4.3,4650,721,"Crazy Rich Asians is the outrageously funny debut novel about three super-rich, pedigreed Chinese families and the gossip, backbiting, and scheming that occurs when the heir to one of the most massive fortunes in Asia brings home his ABC (American-born Chinese) girlfriend to the wedding of the season.",5,20,"['Asian Literature', 'Asian History', 'Chinese History']"
1363,Royal,Danielle Steel,4.7,393,703,"In this spellbinding tale from Danielle Steel, a princess is sent away to safety during World War II, where she falls in love, and is lost forever.",5,20,"['Cold War', 'Words']"
1364,Tiny Beautiful Things: Advice on Love and Life from Dear Sugar,Cheryl Strayed,4.7,1826,569,"Life can be hard: your lover cheats on you; you lose a family member; you can’t pay the bills. And it can be great: you’ve had the hottest sex of your life; you get that plum job; you muster the courage to write your novel. Sugar - the once-anonymous online columnist at The Rumpus, now revealed as Cheryl Strayed, author of the best-selling memoir Wild - is the person thousands turn to for advice. Tiny Beautiful Things gathers the best of ""Dear Sugar"" in one place and includes never-before-published columns and a new introduction by Steve Almond. Rich with humor, insight, compassion - and absolute honesty - this book is a balm for everything life throws our way.",9,41,"['Relationships', 'Personal Development', 'Family & Relationships']"
1365,Speed Reading Secrets of the World's Fastest Reader: How You Could Double (or Even Triple) Your Reading Speed,Howard Stephen Berg,4.489294063,,422,Speed Reading Secrets of the World's Fastest Reader: How You Could Double (or Even Triple) Your Reading Speed - No description available.,2,30,['Words']
1366,Honoring the Self: The Pyschology of Confidence and Respect,Nathaniel Branden PhD,4.4,130,1774,"""Tell me how a person judges his or her self-esteem"", says pioneering psychologist Nathaniel Branden, ""and I will tell you how that person operates at work, in love, in sex, in parenting, in every important aspect of existence - and how high he or she is likely to rise. The reputation you have with yourself - your self-esteem - is the single most important factor for a fulfilling life.""",7,4,"['Self-Esteem', 'Personal Success', 'Mind']"
